              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE
              VISHNU,        0.62,        7.34
          ZENSARTECH,        0.62,       -1.19
            GAYAPROJ,        0.60,       17.89
                 RCF,        0.59,       21.95
          ASIANPAINT,        0.58,        0.36
            DFMFOODS,        0.58,       -5.75
           ESABINDIA,        0.58,        8.69
                NDGL,        0.58,        0.09
          TIPSINDLTD,        0.58,       14.96
              AVTNPL,        0.56,       24.31
              KINGFA,        0.55,       12.09
           KIRLOSENG,        0.55,        1.53
            MIRZAINT,        0.55,        5.74
             SQSBFSI,        0.54,       -1.99
                VSSL,        0.53,      -11.89
           GEOJITFSL,        0.51,       23.37
            GODREJCP,        0.51,       -0.56
             NANDANI,        0.50,       42.62
          DYNAMATECH,        0.49,       -3.82
             GRAVITA,        0.49,       -4.47
            SGBAUG24,        0.49,       -0.07
          NAHARSPING,        0.48,        8.36
                RKDL,        0.48,       -8.37
          SHOPERSTOP,        0.48,       14.90
            CHOLAFIN,        0.47,        5.44
            CRMFGETF,        0.47,        4.26
           JSWENERGY,        0.47,        3.92
          HINDCOPPER,        0.45,       -1.41
            SUPRAJIT,        0.45,        3.64
          BHARTIARTL,        0.44,        1.27
          INOXLEISUR,        0.44,       19.67
             RKFORGE,        0.44,        3.86
          UTINIFTETF,        0.44,        0.47
           SEAMECLTD,        0.43,       24.06
               ARIES,        0.42,        3.02
          MCLEODRUSS,        0.41,        8.40
            SETFNN50,        0.41,        5.83
               ROLLT,        0.40,      -17.00
              ARVIND,        0.39,        2.64
           ORIENTREF,        0.39,        4.75
          GENUSPOWER,        0.37,        8.61
                  LT,        0.37,        9.30
          PCJEWELLER,        0.37,        4.11
            AUSOMENT,        0.36,        3.33
            JUBLINDS,        0.36,       -0.73
           GUJFLUORO,        0.34,       17.69
              MPSLTD,        0.33,       -0.76
          PILANIINVS,        0.33,        4.88
           SUMMITSEC,        0.33,       16.75
           NAHARPOLY,        0.32,       -0.48
            KOHINOOR,        0.31,        5.53
                 TCI,        0.30,        7.34
             RELIFIN,        0.29,       58.82
            GOODLUCK,        0.28,        9.50
           SYNDIBANK,        0.28,        8.49
                 FDC,        0.27,       -0.41
              RELAXO,        0.27,        4.12
           RELCNX100,        0.27,        1.61
                 SHK,        0.27,        3.27
          TAINWALCHM,        0.26,        2.88
          PIDILITIND,        0.25,        2.91
             ABGSHIP,        0.24,       -5.68
                BBTC,        0.24,        7.72
             HCLTECH,        0.24,       -7.29
          RAJESHEXPO,        0.24,        8.02
          TDPOWERSYS,        0.24,       27.97
             IIFLFIN,        0.23,       -0.02
          JUNIORBEES,        0.23,        4.09
          SANGHVIFOR,        0.23,        3.42
          TTKHLTCARE,        0.23,        0.46
           VISASTEEL,        0.23,        3.07
             SEQUENT,        0.20,        0.20
            ANSALAPI,        0.19,       69.74
             MAHLIFE,        0.19,        1.58
                STAN,        0.19,        0.00
            VIDEOIND,        0.19,        0.19
          VSTTILLERS,        0.19,        2.63
            MONSANTO,        0.17,        1.51
             GABRIEL,        0.16,        2.54
           MUKTAARTS,        0.16,        4.20
                NHAI,        0.16,        1.05
                ATUL,        0.15,       12.21
          KOTHARIPRO,        0.15,        4.28
                 DCW,        0.14,       17.46
          KANORICHEM,        0.14,        0.76
          TRITURBINE,        0.14,       12.61
             FINPIPE,        0.13,        4.49
                MEGH,        0.13,        5.29
          ORISSAMINE,        0.13,       -0.83
           POWERMECH,        0.13,        6.13
           TATAPOWER,        0.12,       -3.39
                 UBL,        0.11,       -2.29
              HONAUT,        0.08,        8.89
                ICIL,        0.08,       -1.91
                 RBL,        0.08,        6.75
                RDEL,        0.08,        3.48
                 IOC,        0.07,       12.73
          JBCHEPHARM,        0.07,       -1.14
          PETRONENGG,        0.07,        3.09
           THYROCARE,        0.07,        2.77
           ZYDUSWELL,        0.07,        1.78
           ARCHIDPLY,        0.06,       11.68
          GREAVESCOT,        0.06,        3.46
          LICNETFGSC,        0.06,        0.06
          SHAKTIPUMP,        0.06,       39.76
               RAMKY,        0.05,        4.39
           AKZOINDIA,        0.04,       11.85
           HINDPETRO,        0.04,        6.78
          KARURVYSYA,        0.04,        9.65
             SANDESH,        0.04,        4.08
          BALKRISIND,        0.02,       -0.58
          CASTROLIND,        0.02,        2.40
              IFBIND,        0.02,        4.52
          INDIANHUME,        0.02,       11.98
           KOTAKGOLD,        0.02,        1.41
