              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE
           SWARAJENG,        5.02,       10.44
              RAJOIL,        5.00,       23.53
          JAYBARMARU,       40.10,       41.64
                NTPC,        4.96,        1.70
          SUPREMEINF,        4.87,       -1.78
                 KEC,        4.86,       17.17
            HEXAWARE,        4.83,       -3.51
           ONWARDTEC,        4.83,       35.17
              BROOKS,        4.81,        7.21
           JAYAGROGN,        4.81,       18.85
                JKIL,        4.81,       -0.57
          WELSPUNIND,        4.78,       17.20
           BLUECOAST,        4.77,       -2.23
            MUNJALAU,        4.77,        7.85
          EIHAHOTELS,        4.75,       11.55
                 KCP,        4.74,       27.18
             KWALITY,        4.73,        2.59
          MAHSCOOTER,        4.71,       13.69
             DHUNINV,        4.61,       16.53
          MOTILALOFS,        4.60,       16.22
                MRPL,        4.60,       21.93
              PDSMFL,        4.60,        4.74
          UMANGDAIRY,        4.60,       15.72
            NAHARCAP,        4.58,        8.24
            KAKATCEM,        4.50,        6.42
           SAKHTISUG,        4.45,        0.72
          ENGINERSIN,        4.44,       14.58
            EVEREADY,        4.44,       23.91
              HATSUN,        4.41,       13.07
              NCLIND,        4.40,       18.70
           ASAHISONG,        4.38,       10.46
          INDIAGLYCO,        4.38,       16.27
            AGROPHOS,        4.37,        8.10
                 HPL,        4.35,       28.81
           ENERGYDEV,        4.33,       -5.52
            JUBLFOOD,        4.32,       -5.34
             NELCAST,        4.27,        7.00
                TIIL,        4.27,       13.45
             UMESLTD,        4.26,        2.08
          PANACEABIO,        4.22,        5.23
               UFLEX,        4.22,       15.83
          KALPATPOWR,        4.21,       22.07
           BOMDYEING,        4.20,        8.84
          LIBERTSHOE,        4.20,        5.28
          IL&FSTRANS,        4.19,        8.96
          ANTGRAPHIC,        4.17,        0.00
               CANBK,        4.16,       14.15
            HDFCBANK,        4.16,        4.59
          PIONEEREMB,        4.07,       12.67
            ADFFOODS,        4.06,       26.00
                DHFL,        4.06,       15.79
           BALAMINES,        4.05,        9.78
            PATELENG,        4.04,       22.19
              VGUARD,        4.03,        8.52
             JKPAPER,        4.02,       19.19
          GLOBALVECT,        4.00,        0.00
           HOTELEELA,       36.98,       43.79
             TIJARIA,       34.67,       44.29
                ITDC,       34.06,       53.46
             RASOYPR,       33.33,       33.33
          SRGINFOTEC,       33.33,       14.29
                 HEG,        3.98,       25.83
          SHARIABEES,        3.98,        5.40
             FRETAIL,        3.96,       25.60
          MANAPPURAM,        3.96,        2.41
          HIGHGROUND,        3.94,        0.60
          ESSARSHPNG,        3.92,       14.16
                 GSS,        3.89,        9.01
          VAIBHAVGBL,        3.89,       14.27
               GEPIL,        3.88,        8.33
           HINDUJAFO,        3.88,        0.15
          MONNETISPA,        3.88,       11.44
          HARITASEAT,        3.86,        4.54
           ARTNIRMAN,        3.85,        0.00
           EROSMEDIA,        3.85,       -0.34
          GUJNRECOKE,        3.85,        5.88
             PROLIFE,        3.80,        2.50
          BALKRISHNA,        3.77,       21.49
           GUJALKALI,        3.76,       10.40
            TIMESGTY,        3.76,        7.97
             EQUITAS,        3.75,        7.86
             LOVABLE,        3.75,        6.42
           GRINDWELL,        3.74,       16.58
                CERA,        3.71,       12.87
          EXCELINDUS,        3.71,       12.27
               ABFRL,        3.69,       16.77
            VENUSREM,        3.69,       13.03
          VIPCLOTHNG,        3.67,        9.17
            HINDALCO,        3.66,       -2.89
          MAITHANALL,        3.65,       21.45
            JUSTDIAL,        3.64,       -8.33
          ASIANHOTNR,        3.63,       30.94
          NAVNETEDUL,        3.63,       21.02
          GARWALLROP,        3.59,        9.49
           PATINTLOG,        3.58,        3.64
           CINEVISTA,        3.57,       10.69
              TNTELE,        3.57,       -1.69
          IFGLREFRAC,        3.55,       19.16
                KSCL,        3.55,        2.75
                SPIC,        3.54,       27.88
          RANEHOLDIN,        3.53,       13.87
           UGARSUGAR,        3.50,        7.91
          DCMSHRIRAM,        3.46,       21.10
           REPCOHOME,        3.46,       13.20
               ZYLOG,        3.45,       -3.23
               SOBHA,        3.44,       10.02
                 PEL,        3.43,       25.05
          APOLLOTYRE,        3.42,       14.82
           RUCHISOYA,        3.41,       -6.18
          NRBBEARING,        3.40,       14.29
          ZANDUREALT,        3.40,       11.26
            PIONDIST,        3.39,      -15.11
               SREEL,        3.39,       -3.06
          PNBHOUSING,        3.37,       17.85
            USHAMART,        3.36,       12.36
          JMFINANCIL,        3.35,       31.60
            HERCULES,        3.32,       17.91
          NAHARINDUS,        3.31,       25.38
            ALLCARGO,        3.29,        6.51
            CROMPTON,        3.29,       12.40
          EIMCOELECO,        3.28,       10.65
             BIGBLOC,        3.27,       30.94
          THANGAMAYL,        3.26,       13.85
             NECCLTD,        3.25,      -27.24
          SHRIRAMCIT,        3.24,       15.35
                BANG,        3.23,       12.50
             JPPOWER,        3.23,       -8.57
          MOTOGENFIN,        3.23,       -0.16
                SOTL,        3.23,        9.39
          TORNTPOWER,        3.22,        0.46
             PRABHAT,        3.21,        4.81
              SINTEX,        3.19,       17.98
                 IRB,        3.18,        5.25
           NITINFIRE,        3.18,        7.28
              SAGCEM,        3.16,        8.27
              AJMERA,        3.15,       10.05
                IIFL,        3.13,       21.66
            MINDTREE,        3.13,       -4.73
               QUESS,        3.10,       13.55
                PPAP,        3.09,       15.94
          JMTAUTOLTD,        3.08,      -14.83
          GKWLIMITED,        3.07,        0.80
           PENINLAND,        3.07,       41.95
              TECHNO,        3.07,       12.96
          TVSSRICHAK,        3.07,        0.78
           SITASHREE,        3.05,       -5.59
          NAVKARCORP,        3.04,       21.41
           IL&FSENGG,        3.03,        3.96
            ASHOKLEY,        3.02,       -2.07
              COLPAL,        3.02,        5.23
          ROSSELLIND,        3.02,       -7.10
          CAPLIPOINT,        3.01,        3.58
             CENTEXT,       27.68,       23.28
             SPCENET,       27.27,      -12.50
                 BLS,       26.60,       -8.79
            ATNINTER,       25.00,      -28.57
                 JHS,       24.67,       37.75
          KAMATHOTEL,       24.46,       36.98
             PERFECT,       23.68,       89.52
           COMPUSOFT,       23.62,       35.63
           BAJAJHIND,       23.16,       25.81
               TCFSL,       22.77,       27.31
          UTTAMSUGAR,       22.51,       37.24
           RUBYMILLS,       22.43,       28.69
            MARATHON,       22.08,       28.41
          SHIVAMAUTO,       22.04,       33.30
            NAGAROIL,       21.51,       22.83
              MASTEK,       21.45,       45.83
           ABMINTLTD,       21.43,      151.16
            MANGALAM,       21.04,       28.13
            SANWARIA,       21.01,       84.02
               KITEX,       20.88,       21.86
            GOLDTECH,       20.80,       36.65
            CUBEXTUB,       20.63,       28.81
                 KSK,       20.54,       24.58
             KILITCH,       20.47,       39.05
            NAGAFERT,       20.12,       22.36
          IBVENTURES,       20.01,      137.39
              SAMTEL,       20.00,        9.09
          MUTHOOTFIN,        2.98,       14.96
                 NCC,        2.98,       17.12
             NUCLEUS,        2.96,       14.54
           SPMLINFRA,        2.95,       49.18
           JKLAKSHMI,        2.94,        6.44
               NKIND,        2.90,       -0.84
           LICNFNHGP,        2.89,       -9.49
          ADVENZYMES,        2.88,        2.41
           FCONSUMER,        2.88,       18.29
             HBSTOCK,        2.88,        8.18
               NESCO,        2.87,        7.70
           INDLMETER,        2.81,       22.84
            PRISMCEM,        2.80,        6.29
           ZODJRDMKJ,        2.80,       -2.94
                IGPL,        2.79,        4.75
             J&KBANK,        2.79,        7.15
          REGENCERAM,        2.78,        4.96
                 RML,        2.78,        4.58
          ASIANTILES,        2.77,        9.64
                 BIL,        2.76,        5.04
                MMFL,        2.76,       13.75
          ORCHIDPHAR,        2.75,       30.28
               SUBEX,        2.71,       -2.58
           ASPINWALL,        2.69,        6.51
            SREINFRA,        2.69,       -3.37
               L&TFH,        2.68,        4.03
           VAKRANGEE,        2.68,        6.96
                SGFL,        2.63,        2.63
                 DBL,        2.62,       16.21
          SHARDAMOTR,        2.60,        9.41
          BERGEPAINT,        2.59,        6.92
            INFIBEAM,        2.59,      -21.07
           RATNAMANI,        2.57,        7.11
          HINDMOTORS,        2.56,        5.26
           STARPAPER,        2.56,       35.15
          CASTEXTECH,        2.55,       -4.73
                HSIL,        2.55,        7.20
            SHEMAROO,        2.54,        9.41
          THIRUSUGAR,        2.53,        3.92
          ANDHRSUGAR,        2.52,       13.32
                 EKC,        2.51,        9.97
               SEINV,        2.51,        3.50
           BHARATRAS,        2.50,       10.40
                 MGL,        2.49,       12.58
            DHANBANK,        2.48,       42.34
            INFRATEL,        2.47,       12.53
               ZUARI,        2.47,       23.19
                 TTL,        2.44,       21.28
                GNFC,        2.43,       12.02
          AVANTIFEED,        2.42,       25.30
           EDELWEISS,        2.41,       25.30
          GODREJPROP,        2.41,       18.53
              RALLIS,        2.41,        3.87
                GSFC,        2.39,       -3.03
          KELLTONTEC,        2.39,       -7.68
            JKCEMENT,        2.38,        6.49
           NITINSPIN,        2.38,       30.75
              UNIPLY,        2.38,        2.10
          HEIDELBERG,        2.37,       14.97
          ADANITRANS,        2.35,       35.08
             KMSUGAR,        2.34,        4.40
                SMPL,        2.33,       15.79
            DIAPOWER,        2.28,      -12.13
             KPRMILL,        2.28,       10.19
                 LTI,        2.28,        6.02
              M&MFIN,        2.28,        9.85
             THERMAX,        2.28,       11.71
          GARDENSILK,        2.25,        1.04
          TTKPRESTIG,        2.24,       12.51
          AMARAJABAT,        2.23,       -0.72
          GULFOILLUB,        2.22,       10.56
           BANKINDIA,        2.21,       18.93
          SHRIRAMEPC,        2.21,        2.96
          RAJSREESUG,        2.20,        2.77
            RELIGARE,        2.20,       -5.72
           DEEPAKNTR,        2.18,       20.31
           ORBITCORP,        2.17,        6.82
                 MRF,        2.16,        6.35
               UJAAS,        2.16,       12.82
           BINANIIND,        2.14,       25.02
          MANGTIMBER,        2.14,        3.50
          MONTECARLO,        2.13,        6.55
                CCCL,        2.11,       29.33
          SALZERELEC,        2.11,       23.27
                KPIT,        2.10,       -0.27
            EASTSILK,        2.08,        8.89
                MSPL,        2.08,       15.75
            BAGFILMS,        2.06,       12.50
             SYNGENE,        2.05,        1.15
           UNIONBANK,        2.05,        5.05
          RANEENGINE,        2.04,       10.55
                HOVS,        2.02,       14.79
            RPPINFRA,        2.02,        2.28
             IFBAGRO,        2.01,        0.65
          JMCPROJECT,        2.01,       23.36
              CENTUM,        2.00,        6.11
             ATLANTA,       19.80,       34.08
             VENKEYS,       19.42,       59.86
           CMICABLES,       18.93,       28.60
               SUNTV,       18.70,       24.80
            ADANIENT,       18.32,       39.60
          CORDSCABLE,       17.95,       39.66
              RUSHIL,       17.94,        5.29
              WEALTH,       17.82,       28.12
            SIMBHALS,       17.47,       22.58
              ROHLTD,       17.44,       36.65
             BGLOBAL,       17.39,      -11.68
             RAYMOND,       17.39,       14.98
          SWANENERGY,       17.29,        3.85
                 PVP,       17.12,       39.78
             PREMIER,       16.91,       18.26
            VIPULLTD,       16.89,        7.16
             SICAGEN,       16.88,       33.70
          EASUNREYRL,       16.83,       18.61
          SRHHYPOLTD,       16.71,       24.89
           BALPHARMA,       16.70,       17.36
                ASIL,       16.67,       61.54
           BHUSANSTL,       16.52,       36.00
            KESARENT,       16.24,       13.77
             HATHWAY,       15.61,       15.15
                OISL,       15.38,       14.41
          SHALPAINTS,       15.23,       49.74
            INDIACEM,       15.21,       18.96
           DIGJAMLTD,       15.05,       39.57
          HITECHPLAS,       14.87,       28.95
          CNOVAPETRO,       14.81,       30.35
                HOCL,       14.66,       25.77
           GOLDINFRA,       14.50,       55.72
           ALPSINDUS,       14.38,       24.63
          CREATIVEYE,       14.29,       35.21
                SPYL,       14.29,      -11.11
                 SCI,       13.90,       22.45
          ORIENTBELL,       13.80,       37.57
             VIJSHAN,       13.64,       23.46
          GILLANDERS,       13.60,       27.69
              HILTON,       13.52,       41.44
           BAYERCROP,       13.49,       12.34
             INTEGRA,       13.21,      -23.08
                RUPA,       13.13,       23.09
           BLKASHYAP,       12.68,       32.68
                PDPL,       12.62,       15.18
          NAGREEKCAP,       12.57,       54.62
          REIAGROLTD,       12.50,       12.50
            MOHITIND,       12.31,       23.54
           MANUGRAPH,       12.27,       16.20
           PRIMESECU,       12.25,       37.68
            KARMAENG,       12.04,       23.66
          SUPREMETEX,       12.00,       15.07
               SETCO,       11.68,       32.60
              TAJGVK,       11.59,       32.71
           SANGAMIND,       11.40,       18.31
          TALWALKARS,       11.28,       18.36
          INSECTICID,       11.21,       16.11
             SHREYAS,       11.17,       25.07
                 MVL,       11.11,       -9.09
              NAKODA,       11.11,       25.00
