              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE          CYBERMEDIA,        9.94,       11.24
          SORILINFRA,        6.65,       43.32
              KERNEX,        6.63,       46.57
           FCONSUMER,        6.57,       19.89
          GODFRYPHLP,        6.57,       -1.47
          VIVIMEDLAB,        6.55,       27.50
           RUCHISOYA,        6.50,       -3.68
           JAYAGROGN,        6.48,       19.08
            JUSTDIAL,        6.46,       -7.98
          APOLLOTYRE,        6.39,       15.41
            DECCANCE,        6.37,       16.06
           HINDUJAFO,        6.35,        1.18
            INFRATEL,        6.34,       15.42
             HUBTOWN,        6.33,       36.61
          MUTHOOTCAP,        6.32,       57.54
          SIMPLEXINF,        6.27,       26.27
             UNITECH,        6.25,        3.48
          NBVENTURES,        6.24,       23.75
                CESC,        6.23,       10.26
                SDBL,        6.21,       -7.00
          HERITGFOOD,        6.16,        8.09
               ELAND,        6.14,       10.84
           MANGLMCEM,        6.14,       25.06
           AARVEEDEN,        6.13,       -6.75
            LGBFORGE,        6.11,       -5.44
          COROMANDEL,        6.07,       15.80
              ITDCEM,        6.07,       15.09
           GULFPETRO,        6.04,       13.06
                ITDC,       58.92,       74.89
             TIJARIA,       54.17,       60.87
            ATNINTER,       50.00,        0.00
          CANFINHOME,        5.98,       21.97
            UCALFUEL,        5.96,       20.91
           AKZOINDIA,        5.95,       14.79
          UMANGDAIRY,        5.95,       15.84
          HEIDELBERG,        5.94,       14.63
            NILKAMAL,        5.94,       11.27
           MOLDTKPAC,        5.93,       12.30
            HDFCBANK,        5.92,        7.63
          JETAIRWAYS,        5.86,        3.77
              RPOWER,        5.86,        3.22
          ZENITHEXPO,        5.85,        1.40
           ORICONENT,        5.84,       19.73
                DHFL,        5.83,       15.43
          MANALIPETC,        5.82,       23.98
          RAINBOWPAP,        5.81,        2.25
          KANORICHEM,        5.79,        6.08
               SREEL,        5.79,       -4.46
            TINPLATE,        5.76,       16.68
              GVKPIL,        5.74,       11.21
                 BEL,        5.73,       16.84
            BHANDARI,        5.66,        5.66
          DCMSHRIRAM,        5.64,       13.18
          MAHSCOOTER,        5.61,       12.80
                IGPL,        5.57,        8.37
            MADHUCON,        5.57,       44.15
              HATSUN,        5.56,       14.37
              RECLTD,        5.56,       18.44
            PRESTIGE,        5.54,       28.85
           EDELWEISS,        5.51,       28.19
                 SFL,        5.49,       13.64
                 MIC,        5.47,        9.06
              ELECON,        5.45,       22.20
                MTNL,        5.44,       11.27
           GUJFLUORO,        5.43,       12.24
             THERMAX,        5.43,       14.79
          ZANDUREALT,        5.41,       12.97
          EUROTEXIND,        5.38,       22.32
              VIPIND,        5.38,       14.26
                 BIL,        5.34,        8.06
               REFEX,        5.34,      -10.78
                SGFL,        5.26,        8.11
            ZEELEARN,        5.26,       -3.71
                 ACE,        5.22,       26.52
          ADHUNIKIND,        5.22,        8.27
          INDIAGLYCO,        5.22,       11.13
                KSCL,        5.20,        2.13
          ADVENZYMES,        5.19,        4.73
           CHROMATIC,        5.17,        8.93
            SHREECEM,        5.17,       14.05
          JPASSOCIAT,        5.16,       -1.12
           NAHARPOLY,        5.14,        8.72
               CANBK,        5.13,       12.12
             HBSTOCK,        5.13,        9.17
            INDORAMA,        5.13,       21.98
           BALAMINES,        5.12,       11.84
                IFCI,        5.12,       -0.67
          CENTURYTEX,        5.09,       13.26
          KOKUYOCMLN,        5.09,       -2.60
          CENTURYPLY,        5.06,        7.51
          HARITASEAT,        5.05,        5.90
             PREMIER,        5.05,       19.54
          HIMATSEIDE,        5.04,        4.19
             EHFLNCD,        5.00,        5.90
            UNIENTER,        4.99,       10.43
          BHARATWIRE,        4.98,       13.70
             GULPOLY,        4.98,       19.52
          GLOBALVECT,        4.97,       -0.05
            SMLISUZU,        4.93,       10.72
          SALZERELEC,        4.92,       22.43
            EVEREADY,        4.91,       21.48
                 HIL,        4.91,       20.53
          SUNILHITEC,        4.91,       27.23
          GARDENSILK,        4.89,        8.09
              SAGCEM,        4.89,        6.05
          SHARDACROP,        4.88,       13.52
          DEEPAKFERT,        4.86,       10.99
          FAGBEARING,        4.86,       17.03
              PFOCUS,        4.85,       37.97
            RELINFRA,        4.85,        2.46
           SAKHTISUG,        4.84,        1.02
                JKIL,        4.82,       -0.54
               VMART,        4.80,       23.86
              AVTNPL,        4.78,       21.85
             BIGBLOC,        4.78,       28.86
           GITANJALI,        4.78,        5.41
                KRBL,        4.78,        8.10
           HCL-INSYS,        4.77,       11.46
            SUPPETRO,        4.77,       29.69
           NOIDATOLL,        4.76,        2.11
           MUKTAARTS,        4.75,        6.18
          NAGREEKCAP,        4.74,       44.62
          SATHAISPAT,        4.74,        5.01
          ATLASCYCLE,        4.73,       14.92
            BSLNIFTY,        4.72,       13.56
               EMMBI,        4.72,       22.59
           ONWARDTEC,        4.71,       26.15
          TARAJEWELS,        4.71,       11.15
                NIBL,        4.70,        5.99
               SOBHA,        4.69,        9.53
              BROOKS,        4.67,        5.10
            IDBIGOLD,        4.66,        5.90
            KESARENT,        4.66,       14.14
                 BSL,        4.64,       16.79
              COLPAL,        4.64,        5.76
            EXIDEIND,        4.64,        9.27
            GAYAPROJ,        4.64,       21.30
               SEINV,        4.64,        4.08
           UGARSUGAR,        4.64,        8.20
          ANDHRACEMT,        4.62,        0.56
                GAIL,        4.60,        8.23
          IBULHSGFIN,        4.59,        4.94
          ASIANHOTNR,        4.58,       34.90
          BERGEPAINT,        4.55,        9.65
            CHOLAFIN,        4.53,       10.30
           GAMMONIND,        4.52,       14.36
            JKCEMENT,        4.52,        8.37
           NITESHEST,        4.52,       41.72
                 DCW,        4.48,       18.20
           PATINTLOG,        4.43,        4.73
                 TTL,        4.43,       21.80
           TEAMLEASE,        4.42,       13.67
          VAIBHAVGBL,        4.42,       15.30
               CCHHL,        4.40,       16.33
           ELECTCAST,        4.36,       23.55
                GSFC,        4.35,       -2.56
          HOTELRUGBY,        4.35,       24.14
           UNIONBANK,        4.35,        3.20
          JAGSNPHARM,        4.34,       23.58
                 UPL,        4.32,       10.00
                KDDL,        4.29,       25.54
                 UBL,        4.29,       -1.48
          THIRUSUGAR,        4.28,        7.08
          KALPATPOWR,        4.26,       21.49
          ULTRACEMCO,        4.26,        4.22
              LUXIND,        4.25,       19.25
           AEGISCHEM,        4.23,       -4.28
           ENERGYDEV,        4.22,       -8.29
               UFLEX,        4.21,       15.93
              TAJGVK,        4.20,       31.67
           GOLDINFRA,        4.19,       41.67
             SADBHAV,        4.19,        6.27
            ADORWELD,        4.17,       10.18
          EXCELINDUS,        4.16,        9.44
            JUBLFOOD,        4.16,       -2.90
            VESUVIUS,        4.16,        4.33
          CASTROLIND,        4.15,        6.53
          NAVKARCORP,        4.15,       21.52
                KKCL,        4.12,       -0.46
              INDIGO,        4.10,        9.81
           SYNDIBANK,        4.08,        6.63
             UMESLTD,        4.08,       10.87
          INOXLEISUR,        4.06,       20.65
          PETRONENGG,        4.06,        6.57
               NESCO,        4.05,       10.26
           NITINSPIN,        4.05,       21.97
                RDEL,        4.05,        5.52
             ARIHANT,        4.04,       23.40
                HOVS,        4.02,       12.13
               QUESS,        4.02,       12.73
              ARVIND,        4.01,        3.33
            DENABANK,        4.01,        6.77
                 ITI,       39.46,       58.92
          JAYBARMARU,       35.88,       39.23
                 JHS,       35.17,       49.62
          VISESHINFO,       33.33,      -20.00
            MANGALAM,       32.10,       38.74
              WEALTH,       31.83,       44.93
              MASTEK,       31.22,       52.37
           RAMASTEEL,        3.95,       20.94
                 SRF,        3.95,        7.75
                RSWM,        3.93,        0.15
            ALLCARGO,        3.92,        6.01
          GUJNRECOKE,        3.92,       10.42
            PIONDIST,        3.91,      -13.35
               WABAG,        3.91,        3.20
          ROSSELLIND,        3.90,      -11.87
           ZODJRDMKJ,        3.88,        3.72
          PRAKASHSTL,        3.85,        3.85
           SUJANAUNI,        3.85,        3.85
             PRAKASH,        3.83,       16.47
                 HMT,        3.82,        3.82
           LYPSAGEMS,        3.82,       -1.14
            HINDALCO,        3.81,       -2.10
                 RCF,        3.81,       22.91
                BHEL,        3.80,        5.48
          PUNJABCHEM,        3.80,        0.03
                  LT,        3.79,       11.70
               UJAAS,        3.79,        7.58
             IFBAGRO,        3.76,        1.60
                 VHL,        3.76,        1.97
           NILAINFRA,        3.75,        6.82
             BRIGADE,        3.74,        8.36
                 ESL,        3.74,       21.98
          TEXMOPIPES,        3.74,       53.74
            ANIKINDS,        3.73,       24.27
           ORIENTREF,        3.73,        5.58
           SUTLEJTEX,        3.72,       14.79
          ASIANTILES,        3.71,        9.38
          BALKRISHNA,        3.70,       -0.24
           STARPAPER,        3.70,       13.04
                 FEL,        3.68,        9.93
           TATAELXSI,        3.68,        5.03
          SESHAPAPER,        3.67,       -7.27
              SINTEX,        3.66,       15.02
          ADANIPORTS,        3.65,        2.40
          SREIBNPNCD,        3.65,        6.92
              VRLLOG,        3.64,       17.22
                BEPL,        3.61,       30.57
          EIMCOELECO,        3.60,       14.69
          TIMETECHNO,        3.60,       -3.44
               LIBAS,        3.58,       14.29
          JAICORPLTD,        3.56,       16.08
            ADANIENT,        3.55,       41.89
               L&TFH,        3.55,        6.04
             RANASUG,        3.55,        0.99
            MUNJALAU,        3.54,        5.90
             PRABHAT,        3.53,        4.05
           GOKULAGRO,        3.52,        3.11
            MORARJEE,        3.51,        9.94
          CUMMINSIND,        3.50,        5.07
              IPAPPM,        3.50,       15.18
              NCLIND,        3.50,       18.28
             TEXRAIL,        3.47,       11.82
              TECHIN,        3.45,       37.93
            RELIANCE,        3.44,       10.15
           BINANIIND,        3.43,       25.17
          SUDARSCHEM,        3.43,        6.10
                HDFC,        3.42,        4.66
              AIAENG,        3.41,        2.11
                TAKE,        3.41,       -3.01
            MANAKSIA,        3.40,        3.40
             RAYMOND,        3.40,       15.73
                 SIL,        3.40,        7.27
          VARDHACRLC,        3.40,       -1.21
             KTKBANK,        3.36,       11.89
                 HEG,        3.35,       30.20
            V2RETAIL,        3.35,       -0.76
              MAXVIL,        3.34,       23.01
          VARDMNPOLY,        3.34,        3.99
            MANINFRA,        3.32,       35.31
          ANDHRABANK,        3.31,        7.22
           JAMNAAUTO,        3.31,       12.86
          REMSONSIND,        3.31,        4.66
           ZUARIGLOB,        3.30,       14.13
           LUMAXTECH,        3.29,       13.18
            ALOKTEXT,        3.28,        0.00
               IMPAL,        3.27,        7.44
              WELINV,        3.27,        3.45
                 MGL,        3.23,       12.97
            TVSMOTOR,        3.23,       13.72
          MOTHERSUMI,        3.22,        4.84
          KOTHARIPET,        3.21,       33.49
          MONTECARLO,        3.21,        6.12
          SHARIABEES,        3.21,        5.39
          ANDHRSUGAR,        3.20,       13.22
               CREST,        3.15,        6.09
            RELIGARE,        3.14,       -5.56
              TECHNO,        3.14,       13.64
          HINDMOTORS,        3.13,        5.32
          LLOYDELENG,        3.13,       -0.02
          ORIENTBANK,        3.13,        7.71
              UNIPLY,        3.13,        6.56
           ENDURANCE,        3.12,       15.92
          NAHARSPING,        3.11,        7.12
            RAMCOCEM,        3.10,        6.27
                SOTL,        3.10,        9.62
               SANCO,        3.09,        3.13
             SKIPPER,        3.09,       11.43
             AHLWEST,        3.07,        9.45
          KABRAEXTRU,        3.06,        8.20
                BBTC,        3.05,        7.23
            GPTINFRA,        3.05,        3.03
           NEXTMEDIA,        3.05,       11.03
            PRECWIRE,        3.05,       14.39
                NMDC,        3.04,       -4.67
                 PSB,        3.03,        6.16
             SERVALL,        3.03,       15.25
                NTPC,        3.00,        1.18
           SEAMECLTD,        3.00,       26.78
           COMPUSOFT,       29.26,       44.21
          UTTAMSUGAR,       28.56,       42.09
                LSIL,       27.03,       38.24
           BAJAJHIND,       26.33,       29.09
            KAKATCEM,       26.20,       29.30
             HATHWAY,       25.87,       22.75
          SHIVAMAUTO,       25.66,       35.38
            INDIACEM,       25.45,       27.44
             KILITCH,       25.14,       35.56
              RUSHIL,       24.44,        9.24
                RUPA,       23.96,       31.59
             CENTEXT,       23.42,       21.24
                 GSS,       23.28,       30.69
          ORIENTBELL,       22.75,       48.54
             REVATHI,       21.97,       27.68
          JPINFRATEC,       21.62,       29.19
           ABMINTLTD,       21.43,      151.16
               CROWN,       21.37,       -8.35
            GOLDTECH,       20.99,       37.83
          IBVENTURES,       20.97,      137.51
                 BLS,       20.85,       -3.62
               KITEX,       20.75,       21.16
                 KSK,       20.62,       25.13
            CUBEXTUB,       20.45,       41.33
          SRHHYPOLTD,       20.30,       28.62
             SICAGEN,       20.13,       38.40
          AKSHOPTFBR,        2.99,        8.07
          SOMICONVEY,        2.99,        2.99
             SQSBFSI,        2.99,        0.22
            SUPRAJIT,        2.98,        1.17
                ATUL,        2.95,       11.12
              MARUTI,        2.95,        5.22
           TATAPOWER,        2.93,       -0.64
                TIIL,        2.93,       14.63
           GICHSGFIN,        2.91,       41.47
            MONSANTO,        2.91,        2.59
          TCIDEVELOP,        2.91,        5.25
          BAJFINANCE,        2.89,        8.05
             GMDCLTD,        2.85,        2.52
                IITL,        2.85,       15.51
             LINCPEN,        2.85,       12.91
          ASIANPAINT,        2.84,        0.54
                 HCG,        2.84,       23.77
              SUBROS,        2.84,       22.09
                 KEC,        2.83,        6.29
          DLINKINDIA,        2.82,        2.27
             KPRMILL,        2.81,       10.29
          ARROWGREEN,        2.80,       -2.23
              SAKUMA,        2.80,        7.77
          AUTOLITIND,        2.79,        9.89
             JETKNIT,        2.79,       -9.09
